Course,Eligibility
M.E. CAD / CAM,B.E. / B.Tech.
,Mechanical Engg./ Mechanical Engg. (Sandwich)
,Automobile Engg.
,Manufacturing Engg./Tech.
,Production Engg./Tech./ Production Engg. (Sandwich)
,Aerospace Tech.
,Industrial Engg
,Marine Engg.
,Mechatronics / Mechatronics Engg
,Aeronautical Engg
,Aerospace Engg
,Mechanical and Automation Engg
,Robotics and Automation
M.E.Computer Science Engineering,B.E. / B.Tech.
,Information Technology
,Computer Science and Engg.
,Software Engineering
,Computer and Communication Engg.
,Electronics and Communication Engg
,Information Science and Engineering
,Computer Science
,Artificial Intelligence and Data Science
,Computer Science and Business Systems
,Computer Science and Technology
,Cyber Security
,Artificial Intelligence and Machine Learning
,Computer Science and Engineering (Artificial Intelligence)
,Computer Science and Engineering (Artificial Intelligence and Machine Learning)
,Computer Science and Engineering (Cyber Security)
M.E. Applied Electronics,B.E. / B.Tech.
,Electronics and Communication Engineering
,Electrical and Electronics Engineering
,Electronics Engineering
,Electronics and Instrumentation Engineering
M.E. Electronics and Communication (VLSI Design),B.E. / B. Tech.
,Electronics and Communication Engineering
,Electrical and Electronics Engineering
,Electronics and Instrumentation Engineering
,Electronics and Telecommunication Engineering
,Electronics Engineering
M.E. Electronics and Communication (Advanced Communication Technology),B.E. / B. Tech.
,Electronics and Communication Engineering.
,Electronics and Telecommunication Engineering
