Branch,OC,BC,BCM,MBC,SC
Computer Science and Engineering,196,194,193,194,185
Artificial Intelligence and Data Science,194,193,192.5,192.5,184
Artificial Intelligence and Machine Learning,194.5,193.5,192,193.5,183.5
Computer Science and Business System,194,192.5,192,-,183.5
Cybersecurity,194,193,192.5,193,183.5
Information Technology,194,193.5,192,193,183.5
Advanced Communication Technology,193,192.5,192,192,181.5
Electronics and Comm. Engineering,195,193.5,193.5,192.5,185.5
Biomedical Engineering,190.5,188,187.5,185.5,174.5
Electrical and Electronics Engineering,193,192,191.5,191,179.5
VLSI Design,193,192.5,191.5,192,181
Civil Engineering,188,185,187.5,183.5,178
Mechanical Engineering,189.5,186.5,183.5,188,170
Mechatronics Engineering,191.5,191,190,190,177.5
